step,targeted_lcc,random_lcc
0,1981,1981.0
1,1979,1979.8
2,1978,1978.4
3,1977,1977.4
4,1976,1976.2
5,1976,1975.2
6,1975,1973.6
7,1974,1972.6
8,1974,1972.2
9,1974,1971.4
10,1973,1969.8
11,1972,1968.8
12,1971,1967.4
13,1964,1966.8
14,1963,1965.6
15,1962,1963.2
16,1961,1962.2
17,1960,1961.2
18,1959,1960.4
19,1958,1959.2
20,1957,1958.0
21,1956,1956.8
22,1955,1955.6
23,1954,1954.8
24,1948,1953.6
25,1947,1952.4
26,1947,1951.2
27,1946,1950.6
28,1945,1949.4
29,1945,1948.6
30,1944,1947.6
31,1944,1946.4
32,1942,1945.2
33,1940,1944.4
34,1940,1943.4
35,1939,1942.4
36,1938,1941.4
37,1937,1940.4
38,1936,1939.4
39,1936,1938.2
40,1936,1933.0
41,1936,1931.6
42,1936,1930.6
43,1935,1929.6
44,1934,1928.6
45,1934,1926.6
46,1933,1925.6
47,1932,1924.6
48,1931,1923.2
49,1930,1918.6
50,1930,1917.6
51,1929,1915.8
52,1928,1914.8
53,1927,1913.4
54,1926,1912.2
55,1924,1911.0
56,1923,1910.0
57,1922,1909.0
58,1921,1908.2
59,1921,1906.2
60,1919,1905.6
61,1918,1904.4
62,1916,1902.8
63,1915,1901.8
64,1913,1900.6
65,1912,1899.6
66,1911,1898.0
67,1911,1897.2
68,1911,1895.6
69,1910,1894.6
70,1908,1893.6
71,1908,1892.6
72,1907,1891.6
73,1907,1890.2
74,1907,1889.0
75,1904,1887.8
76,1903,1886.2
77,1902,1885.0
78,1901,1883.8
79,1901,1882.8
80,1901,1881.8
81,1900,1881.0
82,1899,1880.2
83,1897,1879.4
84,1896,1878.0
85,1895,1876.6
86,1894,1875.6
87,1893,1874.6
88,1892,1873.8
89,1891,1872.6
90,1890,1871.2
91,1889,1870.2
92,1889,1869.2
93,1888,1868.4
94,1887,1867.2
95,1886,1866.0
96,1885,1865.0
97,1884,1863.8
98,1883,1862.8
99,1883,1861.6
100,1882,1860.6
101,1882,1859.8
102,1882,1859.0
103,1881,1858.0
104,1880,1857.2
105,1879,1856.2
106,1879,1855.2
107,1878,1854.0
108,1877,1852.8
109,1875,1851.4
110,1874,1850.4
111,1873,1849.6
112,1872,1848.6
113,1872,1847.4
114,1872,1846.6
115,1872,1845.6
116,1872,1844.4
117,1872,1843.0
118,1871,1840.8
119,1871,1839.6
120,1871,1838.6
121,1866,1837.2
122,1865,1835.0
123,1864,1834.4
124,1863,1833.2
125,1863,1832.4
126,1863,1831.4
127,1862,1830.6
128,1861,1829.8
129,1861,1827.2
130,1861,1825.6
131,1860,1824.6
132,1859,1822.6
133,1858,1821.4
134,1858,1820.6
135,1857,1819.0
136,1856,1818.0
137,1855,1815.6
138,1854,1814.6
139,1853,1813.6
140,1852,1812.6
141,1851,1811.4
142,1842,1810.4
143,1841,1809.6
144,1841,1808.6
145,1841,1807.4
146,1840,1806.0
147,1840,1805.2
148,1839,1804.4
149,1839,1801.8
150,1838,1799.6
151,1838,1798.6
152,1837,1798.0
153,1835,1796.8
154,1834,1795.6
155,1833,1794.6
156,1832,1793.4
157,1831,1792.0
158,1831,1790.6
159,1829,1786.8
160,1829,1784.6
161,1828,1783.4
162,1827,1782.4
163,1826,1781.6
164,1825,1780.6
165,1825,1779.2
166,1825,1778.2
167,1825,1777.4
168,1824,1775.8
169,1824,1774.8
170,1824,1773.6
171,1823,1772.8
172,1822,1772.2
173,1822,1771.0
174,1821,1769.6
175,1820,1768.6
176,1819,1767.6
177,1819,1766.8
178,1819,1765.8
179,1818,1764.2
180,1817,1763.4
181,1816,1762.4
182,1815,1761.4
183,1812,1760.4
184,1809,1759.4
185,1808,1758.2
186,1808,1757.2
187,1807,1756.4
188,1807,1754.6
189,1806,1753.8
190,1803,1752.2
191,1803,1751.2
192,1803,1750.0
193,1802,1748.4
194,1802,1747.4
195,1802,1746.6
196,1801,1745.2
197,1801,1744.0
198,1800,1743.0
199,1799,1742.6
200,1797,1739.6
201,1796,1738.6
202,1796,1737.4
203,1795,1736.6
204,1794,1735.8
205,1792,1734.8
206,1791,1733.8
207,1790,1732.6
208,1789,1731.8
209,1789,1730.8
210,1787,1729.6
211,1787,1726.8
212,1787,1725.8
213,1786,1723.8
214,1786,1722.0
215,1786,1721.0
216,1786,1719.0
217,1785,1717.4
218,1784,1716.6
219,1783,1715.2
220,1782,1713.2
221,1781,1711.8
222,1781,1710.8
223,1780,1709.8
224,1776,1708.6
225,1775,1707.8
226,1775,1707.0
227,1774,1705.6
228,1773,1704.8
229,1773,1704.0
230,1772,1701.2
231,1772,1700.2
232,1771,1698.6
233,1771,1695.6
234,1771,1694.8
235,1770,1693.6
236,1770,1692.6
237,1769,1691.8
238,1768,1691.2
239,1767,1690.4
240,1766,1689.6
241,1766,1688.8
242,1765,1688.0
243,1764,1687.2
244,1763,1685.6
245,1763,1684.4
246,1762,1683.4
247,1762,1681.4
248,1762,1679.8
249,1761,1677.4
250,1761,1676.4
251,1761,1675.0
252,1760,1674.0
253,1760,1672.0
254,1759,1670.4
255,1758,1669.8
256,1756,1669.0
257,1756,1667.4
258,1756,1666.8
259,1756,1665.6
260,1756,1664.6
261,1756,1663.6
262,1756,1659.6
263,1756,1658.0
264,1755,1657.0
265,1755,1654.2
266,1754,1653.2
267,1752,1650.2
268,1752,1649.4
269,1751,1648.4
270,1750,1647.6
271,1750,1646.6
272,1749,1645.4
273,1749,1644.4
274,1749,1643.2
275,1748,1642.0
276,1748,1641.0
277,1747,1640.4
278,1747,1639.4
279,1744,1638.4
280,1743,1636.6
281,1741,1635.0
282,1740,1634.2
283,1739,1633.2
284,1736,1631.8
285,1736,1630.8
286,1736,1629.8
287,1735,1629.0
288,1733,1628.4
289,1733,1627.6
290,1733,1626.6
291,1732,1625.8
292,1731,1623.2
293,1729,1622.6
294,1729,1621.6
295,1729,1618.6
296,1729,1618.0
297,1729,1617.2
298,1729,1616.2
299,1728,1615.2
300,1728,1614.0
301,1726,1612.4
302,1726,1611.8
303,1726,1610.8
304,1726,1608.4
305,1726,1604.4
306,1725,1602.4
307,1723,1601.6
308,1723,1600.6
309,1722,1599.6
310,1721,1598.6
311,1720,1597.4
312,1720,1595.4
313,1719,1593.4
314,1718,1592.4
315,1718,1590.8
316,1718,1589.0
317,1717,1587.8
318,1716,1587.2
319,1715,1585.0
320,1714,1584.0
321,1713,1582.2
322,1712,1581.4
323,1711,1580.4
324,1711,1579.2
325,1711,1578.0
326,1710,1577.0
327,1710,1576.2
328,1710,1575.4
329,1709,1574.4
330,1708,1573.6
331,1708,1572.8
332,1707,1570.8
333,1706,1569.8
334,1706,1567.4
335,1705,1566.4
336,1704,1565.2
337,1703,1564.2
338,1696,1563.6
339,1695,1562.6
340,1693,1562.0
341,1692,1560.6
342,1691,1560.2
343,1690,1558.2
344,1688,1556.8
345,1686,1555.8
346,1685,1554.6
347,1685,1553.8
348,1684,1552.8
349,1683,1551.4
350,1682,1550.6
351,1682,1549.4
352,1681,1547.8
353,1679,1546.4
354,1678,1545.2
355,1678,1544.4
356,1677,1543.8
357,1676,1543.0
358,1676,1542.0
359,1675,1541.2
360,1675,1540.4
361,1675,1539.4
362,1674,1538.6
363,1673,1537.6
364,1673,1536.0
365,1672,1535.0
366,1671,1534.0
367,1670,1533.4
368,1669,1532.8
369,1668,1528.2
370,1666,1523.2
371,1665,1522.2
372,1664,1521.6
373,1664,1521.0
374,1662,1520.2
375,1662,1518.2
376,1661,1517.2
377,1660,1516.2
378,1660,1515.0
379,1660,1514.0
380,1659,1511.6
381,1659,1510.6
382,1658,1509.0
383,1657,1508.4
384,1656,1506.8
385,1653,1506.0
386,1653,1504.8
387,1652,1503.0
388,1651,1502.2
389,1650,1501.6
390,1648,1500.6
391,1648,1499.4
392,1648,1498.4
393,1646,1497.6
394,1643,1497.0
395,1642,1496.0
396,1641,1493.4
397,1639,1491.4
398,1639,1490.6
399,1638,1490.0
400,1633,1489.0
401,1633,1486.2
402,1631,1485.2
403,1630,1482.6
404,1629,1481.8
405,1628,1481.4
406,1627,1479.6
407,1626,1478.4
408,1625,1477.6
409,1625,1477.0
410,1625,1476.0
411,1625,1475.4
412,1623,1474.2
413,1622,1473.6
414,1621,1473.0
415,1619,1471.8
416,1618,1470.6
417,1616,1468.2
418,1615,1467.4
419,1615,1466.8
420,1615,1465.4
421,1614,1464.4
422,1613,1463.4
423,1612,1462.2
424,1611,1461.0
425,1610,1459.2
426,1609,1458.4
427,1606,1457.4
428,1605,1456.6
429,1603,1455.6
430,1602,1454.2
431,1601,1453.2
432,1600,1452.4
433,1599,1451.4
434,1598,1442.2
435,1598,1441.0
436,1597,1440.2
437,1597,1439.4
438,1597,1438.2
439,1597,1437.4
440,1596,1435.8
441,1595,1434.8
442,1594,1433.6
443,1593,1432.8
444,1591,1431.2
445,1590,1429.8
446,1589,1428.6
447,1588,1424.6
448,1585,1424.0
449,1583,1423.0
450,1583,1422.2
451,1582,1421.6
452,1580,1420.4
453,1579,1416.6
454,1579,1415.6
455,1578,1413.6
456,1578,1412.4
457,1578,1411.4
458,1577,1410.2
459,1576,1408.8
460,1575,1407.0
461,1574,1406.6
462,1572,1405.8
463,1572,1403.6
464,1571,1402.8
465,1570,1402.0
466,1569,1400.8
467,1568,1399.8
468,1567,1399.0
469,1566,1398.4
470,1565,1395.6
471,1564,1394.2
472,1563,1392.8
473,1562,1390.8
474,1561,1390.2
475,1560,1389.0
476,1559,1387.6
477,1557,1386.6
478,1556,1386.0
479,1555,1383.8
480,1554,1382.2
481,1553,1378.2
482,1553,1376.8
483,1552,1375.6
484,1551,1374.6
485,1551,1369.2
486,1550,1366.8
487,1549,1365.4
488,1547,1364.2
489,1545,1363.2
490,1544,1362.2
491,1543,1361.2
492,1542,1357.8
493,1541,1356.0
494,1540,1354.8
495,1538,1353.8
496,1537,1352.2
497,1536,1351.0
498,1535,1349.2
499,1535,1347.6
500,1534,1346.4
