package,dependents_count,risk_score
supports-color,5765200,0.10468564959534518
fs.realpath,5532257,0.09372481016014675
fill-range,5461792,0.1035114687373665
to-regex-range,5300496,0.1002041717049967
fsevents,5289351,0.09246268998838633
resolve,5229428,0.11269155693656469
statuses,5106018,0.10224321595225981
setprototypeof,5068682,0.09556163683714708
unpipe,5053604,0.09449291958331771
fresh,5019855,0.09679801085378933
send,4993661,0.11031755694130496
serve-static,4975561,0.09861388096394944
fast-deep-equal,4968905,0.10566691881301203
fast-json-stable-stringify,4957551,0.09924856723352524
utils-merge,4948638,0.09190707307183457
finalhandler,4946523,0.10242902035227239
readdirp,4905460,0.09622855020121311
yargs,4893685,0.11985403251565227
camelcase,4809686,0.10477200076135604
uri-js,4745435,0.09436039499660391
