package,out_degree,risk_score
telecom-mas-agent,83,0.1481569013359716
@babel/preset-env,70,0.17973781757192667
postcss-preset-env,69,0.16779167795493605
@aws-sdk/client-s3,55,0.18982183282811324
es-abstract,54,0.37991628609938943
react-scripts,48,0.13758605133688095
@aws-sdk/client-s3-control,45,0.11189549660778222
@aws-sdk/client-lambda,44,0.13322016933246697
cypress,42,0.34271657561465735
@aws-sdk/client-dynamodb,42,0.13640739613281405
@aws-sdk/client-rds,41,0.1145823429863653
@aws-sdk/client-cloudwatch,41,0.11691486947062169
@aws-sdk/client-ec2,41,0.1193537056797819
@aws-sdk/client-cloudfront,41,0.1116283606501457
@aws-sdk/client-sqs,41,0.12283814742076941
@aws-sdk/client-ses,40,0.11785439128159751
@aws-sdk/client-iam,40,0.11958198495981524
@aws-sdk/client-cloudformation,40,0.11345707161196009
@aws-sdk/client-cloudsearch,39,0.0823456135510636
@aws-sdk/client-sns,39,0.11302126608957622
