package,staleness_days,risk_score
@babel/plugin-syntax-private-property-in-object,1341,0.21749301983342556
@babel/plugin-syntax-class-static-block,1341,0.21725546888732972
@babel/plugin-syntax-top-level-await,1341,0.24361508134372709
@mrmlnc/readdir-enhanced,1340,0.23210382181585723
@istanbuljs/load-nyc-config,1340,0.2776423760156407
@tokenizer/token,1339,0.22760984566123743
@tootallnate/once,1339,0.2378121942520059
@surma/rollup-plugin-off-main-thread,1339,0.2854256402622545
@rtsao/scc,1339,0.19691386197641936
ansi-html-community,1334,0.23603709654788763
@xtuc/long,1334,0.242802117797332
astral-regex,1334,0.23806953302955114
@xtuc/ieee754,1334,0.23778247303095412
create-require,1318,0.23463567531399349
eslint-utils,1314,0.23920577662325526
es-array-method-boxes-properly,1314,0.23301598072514884
@cspotcode/source-map-support,1313,0.23422389687630643
internmap,1310,0.22611789433225432
hyperdyperid,1310,0.20516093865391233
map-age-cleaner,1307,0.23585628975065143
